CompanyID,Name,Type,Location,PartnershipLevel
1,"Faulkner, Martinez and Gilmore",Government,Ottawa,Collaborator
2,"Howell, Sanchez and Pierce",Private,Ottawa,Strategic
3,Villarreal-Moreno,Private,Remote,Strategic
4,Vincent-Watts,Private,Toronto,Strategic
5,Duffy Group,Government,Vancouver,Collaborator
6,Evans LLC,Government,Ottawa,Collaborator
7,"Manning, Miller and Forbes",Government,Toronto,Collaborator
8,Davis LLC,Government,Vancouver,Collaborator
9,Miller LLC,Government,Vancouver,Collaborator
10,Carney PLC,Private,Ottawa,Strategic
11,"Benton, Barr and Haney",Government,Toronto,Strategic
12,Ali-Singleton,Government,Ottawa,Collaborator
13,Rivera-Rodriguez,Private,Remote,Strategic
14,Glover-Tapia,Government,Toronto,Strategic
15,"Hodges, Meyer and Snyder",Government,Toronto,Strategic
16,Hart-Brewer,Government,Remote,Collaborator
17,Brown-Sandoval,Government,Ottawa,Collaborator
18,"Crawford, Reyes and Gordon",Private,Vancouver,Collaborator
19,Daniels-White,Private,Ottawa,Strategic
20,Russell-Anderson,Government,Ottawa,Strategic
21,Clay Inc,Private,Remote,Strategic
22,Lowe and Sons,Government,Remote,Collaborator
23,"King, Morris and Robinson",Government,Toronto,Collaborator
24,Miller-Carr,Private,Ottawa,Collaborator
25,"Ramirez, Wilson and Kramer",Government,Ottawa,Strategic
26,Cuevas and Sons,Private,Ottawa,Collaborator
27,Griffin-Roberts,Government,Vancouver,Collaborator
28,Page Inc,Government,Toronto,Collaborator
29,Martinez Group,Private,Remote,Collaborator
30,Dunn-Cannon,Private,Vancouver,Collaborator
31,Jimenez Group,Private,Vancouver,Collaborator
32,Shepherd-Vargas,Private,Ottawa,Collaborator
33,Taylor-Steele,Government,Remote,Collaborator
34,Smith and Sons,Private,Remote,Collaborator
35,Miller LLC,Government,Ottawa,Collaborator
36,Moore PLC,Private,Vancouver,Collaborator
37,Christensen-Brewer,Government,Remote,Collaborator
38,Garcia-Caldwell,Private,Ottawa,Strategic
39,Torres-Russo,Government,Vancouver,Strategic
40,Jackson-Miller,Government,Toronto,Strategic
41,Rodriguez and Sons,Private,Ottawa,Strategic
42,Gibbs-Howard,Private,Vancouver,Strategic
43,"Schneider, Price and Holden",Private,Remote,Strategic
44,Donovan LLC,Government,Vancouver,Collaborator
45,"Levy, Sawyer and Perkins",Government,Vancouver,Strategic
46,Garcia Ltd,Government,Toronto,Strategic
47,Cruz-Perez,Government,Ottawa,Strategic
48,"Kelly, Wallace and Santana",Private,Toronto,Collaborator
